"id","year","rosenberg","rosenberg_inp","dum_35_inp","dum_40_inp","dum_45_inp"
800695,2015,NA,66,0,0,0
800695,2016,NA,66,0,0,0
800695,2017,67,67,0,0,0
800695,2018,NA,67,0,0,0
800695,2019,67,67,0,0,0
800695,2020,63,63,0,0,0
800695,2021,63,63,0,0,0
800695,2022,67,67,0,0,0
800697,2022,24,24,1,1,1
800701,2012,60,60,0,0,0
800701,2013,66,66,0,0,0
800701,2014,57,57,0,0,0
800701,2015,NA,57,0,0,0
800701,2016,NA,57,0,0,0
800701,2017,68,68,0,0,0
800701,2018,NA,68,0,0,0
800701,2019,65,65,0,0,0
800701,2020,55,55,0,0,0
800701,2021,66,66,0,0,0
800701,2022,56,56,0,0,0
800704,2017,63,63,0,0,0
800714,2017,46,46,0,0,0
800714,2018,NA,46,0,0,0
800714,2019,32,32,1,1,1
800744,2012,43,43,0,0,1
800750,2008,56,56,0,0,0
800750,2009,58,58,0,0,0
800750,2010,NA,58,0,0,0
800750,2011,50,50,0,0,0
800750,2012,NA,50,0,0,0
800750,2013,55,55,0,0,0
800750,2014,NA,55,0,0,0
800750,2015,55,55,0,0,0
800750,2016,NA,55,0,0,0
800750,2017,46,46,0,0,0
800750,2018,NA,46,0,0,0
800750,2019,45,45,0,0,1
800750,2020,43,43,0,0,1
800750,2021,44,44,0,0,1
800750,2022,50,50,0,0,0
800759,2008,69,69,0,0,0
800759,2009,70,70,0,0,0
800762,2008,69,69,0,0,0
800762,2009,69,69,0,0,0
800762,2010,NA,69,0,0,0
800762,2011,58,58,0,0,0
800762,2012,NA,58,0,0,0
800762,2013,65,65,0,0,0
800762,2014,62,62,0,0,0
800762,2015,NA,62,0,0,0
800762,2016,NA,62,0,0,0
800762,2017,58,58,0,0,0
800762,2018,NA,58,0,0,0
800762,2019,66,66,0,0,0
800762,2020,NA,66,0,0,0
800762,2021,67,67,0,0,0
800762,2022,66,66,0,0,0
800771,2022,61,61,0,0,0
800775,2012,66,66,0,0,0
800775,2013,67,67,0,0,0
800775,2014,66,66,0,0,0
800775,2015,NA,66,0,0,0
800775,2016,NA,66,0,0,0
800775,2017,58,58,0,0,0
800775,2018,NA,58,0,0,0
